paper_id,paper_kind,authors,year,title,venue,primary_url,mechanism_themes,original_universe,original_sample,canonical_signal_or_target,formation_and_holding,project_use,verification_status
LIT001,factor,Jegadeesh and Titman,1993,Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1993.tb04702.x,price_momentum,NYSE and AMEX common stocks,1965-1989,past 3 to 12 month return,3 to 12 month formation and holding with a one-week skip,canonical momentum benchmark,primary_source_verified
LIT002,factor,Novy-Marx,2012,Is Momentum Really Momentum?,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X11001152,intermediate_momentum,US common stocks with large-liquid subsample,1926-2010,return from months t-12 through t-7,monthly formation and medium-horizon holding,distinct momentum-horizon hypothesis,primary_source_verified
LIT003,factor,George and Hwang,2004,The 52-Week High and Momentum Investing,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2004.00695.x,reference_point_momentum,US common stocks,1963-2001,price relative to prior 52-week high,monthly formation and six-month holding,reference-point signal,primary_source_verified
LIT004,factor,Blitz Huij and Martens,2011,Residual Momentum,Journal of Empirical Finance,https://pure.eur.nl/en/publications/residual-momentum/,residual_momentum,US and international equities,see paper,FF3 residual return standardized by residual volatility,36-month factor regression then 12-1 residual formation,orthogonalized momentum candidate,author_repository_verified
LIT005,factor,Da Gurun and Warachka,2014,Frog in the Pan: Continuous Information and Momentum,Review of Financial Studies,https://academic.oup.com/rfs/article-abstract/27/7/2171/1578455,information_continuity,US common stocks,1927-2007,sign-adjusted fraction of negative versus positive daily returns conditional on 12-1 return,monthly double sort and medium-horizon holding,path-quality interaction,primary_source_verified
LIT006,factor,Jegadeesh,1990,Evidence of Predictable Behavior of Security Returns,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1990.tb05110.x,short_term_reversal,US common stocks,1934-1987,negative prior-month return,one-month formation and holding,short-reversal benchmark,primary_source_verified
LIT007,factor,Heston and Sadka,2008,Seasonality in the Cross-Section of Stock Returns,Journal of Financial Economics,https://doi.org/10.1016/j.jfineco.2007.02.003,seasonality,US common stocks,1965-2002,same-calendar-month historical returns,annual lags up to 20 years and one-month holding,calendar-seasonality signal,primary_source_verified
LIT008,factor,Moskowitz and Grinblatt,1999,Do Industries Explain Momentum?,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/0022-1082.00146,industry_information,US common stocks grouped into 20 industries,1963-1995,industry value-weighted six-month return,six-month formation and holding,industry-level propagation signal,primary_source_verified
LIT009,factor,Chan Jegadeesh and Lakonishok,1996,Momentum Strategies,Journal of Finance,https://doi.org/10.1111/j.1540-6261.1996.tb05222.x,earnings_information,US common stocks with earnings and analyst data,1977-1993,price momentum plus earnings surprise and forecast revision,monthly formation and six to twelve month diagnostics,earnings-event and revision definitions,primary_source_verified
LIT010,factor,Barber De George Lehavy and Trueman,2013,The Earnings Announcement Premium Around the Globe,Journal of Financial Economics,https://doi.org/10.1016/j.jfineco.2012.10.006,scheduled_event_premium,46-country equity sample,1991-2010,expected annual earnings-announcement month indicator,form at prior month-end and hold expected announcement month,event-calendar factor,primary_source_verified
LIT011,factor,Lou Polk and Skouras,2019,A Tug of War: Overnight versus Intraday Expected Returns,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X19300650,investor_clientele_path,US common stocks,see paper,separate EWMA overnight and intraday returns,exclude recent month and predict next-month components,uncommon price-path composite,primary_source_verified
LIT012,factor,Frazzini and Pedersen,2014,Betting Against Beta,Journal of Financial Economics,https://pages.stern.nyu.edu/~afrazzin/pdf/Betting%20Against%20Beta%20-%20Frazzini%20and%20Pedersen.pdf,leverage_constraint_low_risk,US and global equities,1926-2012 for US,shrunk market beta,one-year volatility and five-year three-day correlation with monthly holding,long-only low-beta translation,author_pdf_verified
LIT013,factor,Ang Hodrick Xing and Zhang,2006,The Cross-Section of Volatility and Expected Returns,Journal of Finance,https://www.nber.org/papers/w10852,idiosyncratic_volatility,US common stocks,1963-2000,FF3 residual volatility from daily returns over prior month,monthly formation and holding,low-IVOL candidate,NBER_primary_verified
LIT014,factor,Bali Cakici and Whitelaw,2011,Maxing Out: Stocks as Lotteries and the Cross-Section of Expected Returns,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X1000190X,lottery_demand,US common stocks,1962-2005,maximum daily return in prior month,monthly formation and holding,lottery-risk filter,primary_source_verified
LIT015,factor,Ang Chen and Xing,2006,Downside Risk,Review of Financial Studies,https://academic.oup.com/rfs/article/19/4/1191/1583024,downside_systematic_risk,US common stocks,1963-2001,downside beta conditional on down-market observations,long rolling estimation and monthly holding,asymmetric-risk candidate,primary_source_verified
