attack_arm_id,robust_direct_attack,economic_reference,conditional_role_pass,model_input_eligible,failed_routes
A4__RV21_LVL,False,False,False,False,robust_direct|economic|conditional
A4__RV126_LVL,False,False,False,False,robust_direct|economic|conditional
A4__RV_RATIO_LVL,False,False,False,False,robust_direct|economic|conditional
A4__DOWNSIDE_VAR63_LVL,False,False,False,False,robust_direct|economic|conditional
A4__RET21_LVL,False,False,False,False,robust_direct|economic|conditional
A4__RET126_LVL,False,False,False,False,robust_direct|economic|conditional
A4__SMA_GAP_LVL,False,False,False,False,robust_direct|economic|conditional
A4__DRAWDOWN252_LVL,False,False,False,False,robust_direct|economic|conditional
A4__SKEW63_LVL,False,False,False,False,robust_direct|economic|conditional
A4__KURT126_LVL,False,False,False,False,robust_direct|economic|conditional
A4__VIX_LEVEL_LVL,False,False,False,False,robust_direct|economic|conditional
A4__VIX_RV_GAP_LVL,False,False,False,False,robust_direct|economic|conditional
A4__DOWN_VOLUME21_LVL,False,False,False,False,robust_direct|economic|conditional
A4__VOLUME_SHOCK_LVL,False,False,False,False,robust_direct|economic|conditional
A4__YC_10Y3M_LVL,False,False,False,False,robust_direct|economic|conditional
A4__YC_10Y2Y_LVL,False,False,False,False,robust_direct|economic|conditional
A4__RSP_SPY63_LVL,False,False,False,False,robust_direct|economic|conditional
A4__SMA_GAP_D4,False,False,False,False,robust_direct|economic|conditional
A4__RV_RATIO_D4,False,False,False,False,robust_direct|economic|conditional
A4__RSP_SPY63_D4,False,False,False,False,robust_direct|economic|conditional
