attack_arm_id,source_arm_id,family,display_name,source_table,source_column,transform_kind,lag_scheduled_weeks,attack_score_definition,high_means_attack,preregistered_role,direct_eligible,conditional_eligible,context_only,replacement_allowed,source_manifest_sha256
A4__RV21_LVL,R4B__RV21,realized_risk,Low SPY RV21,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__RV126_LVL,R4B__RV126,realized_risk,Low SPY RV126,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__RV_RATIO_LVL,R4B__RV_RATIO,realized_risk,Low RV21 over RV126,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__DOWNSIDE_VAR63_LVL,R4B__DOWNSIDE_VAR63,realized_risk,Low downside variance share 63d,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,conditional,false,true,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__RET21_LVL,R4B__RET21,price_trend,Positive 21d total return,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__RET126_LVL,R4B__RET126,price_trend,Positive 126d total return,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__SMA_GAP_LVL,R4B__SMA_GAP,price_trend,Positive SMA50 over SMA200 gap,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__DRAWDOWN252_LVL,R4B__DRAWDOWN252,price_path,Shallow drawdown from 252d high,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__SKEW63_LVL,R4B__SKEW63,tail_shape,Positive return skew 63d,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,conditional,false,true,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__KURT126_LVL,R4B__KURT126,tail_shape,Low excess kurtosis 126d,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,conditional,false,true,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__VIX_LEVEL_LVL,R4B__VIX_LEVEL,implied_risk,Low VIX level,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__VIX_RV_GAP_LVL,R4B__VIX_RV_GAP,implied_risk,Low VIX minus RV variance proxy,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,conditional,false,true,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__DOWN_VOLUME21_LVL,R4B__DOWN_VOLUME21,volume_price,Low down-move dollar-volume share 21d,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,conditional,false,true,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__VOLUME_SHOCK_LVL,R4B__VOLUME_SHOCK,volume_price,Low dollar-volume shock 21 over 252,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,conditional,false,true,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__YC_10Y3M_LVL,R4B__YC_10Y3M,yield_curve,Positive 10Y minus 3M slope,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,context_only,false,false,true,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__YC_10Y2Y_LVL,R4B__YC_10Y2Y,yield_curve,Positive 10Y minus 2Y slope,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,context_only,false,false,true,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__RSP_SPY63_LVL,R4B__RSP_SPY63,participation_proxy,Positive RSP versus SPY 63d relative return,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,negate_level,0,-source_defense_score,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__SMA_GAP_D4,R4B__SMA_GAP,price_trend,Four-scheduled-week improvement in SMA gap,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,calendar_delta,4,source_defense_score[t-4_scheduled_weeks]-source_defense_score[t]; join endpoints on the full decision calendar before missing-value filtering,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__RV_RATIO_D4,R4B__RV_RATIO,realized_risk,Four-scheduled-week decline in RV21 over RV126,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,calendar_delta,4,source_defense_score[t-4_scheduled_weeks]-source_defense_score[t]; join endpoints on the full decision calendar before missing-value filtering,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
A4__RSP_SPY63_D4,R4B__RSP_SPY63,participation_proxy,Four-scheduled-week improvement in RSP versus SPY 63d relative return,data/round4/staging/R4A_FREE_FACTOR_DATA/r4a-free-factor-data-20260817-v1/feature_inputs_weekly.parquet,defense_score,calendar_delta,4,source_defense_score[t-4_scheduled_weeks]-source_defense_score[t]; join endpoints on the full decision calendar before missing-value filtering,true,direct,true,false,false,false,1b0b27f689bb3966a34ca94076467be7dad209afa8910a516827b0419514dd7f
