factor_id,display_name,mechanism_family,construction_type,primary_paper_id,canonical_definition,high_score_means,formation_refresh_holding,required_inputs,pit_rule,data_tier,current_feasibility,definition_status,signal_role,long_only_evidence,expected_corr_cluster,redundancy_group,priority,project_translation,notes
XS001_MOM_255_0,"255-session total-return momentum","trend_underreaction","primitive","LIT001","TR_close[t] / TR_close[t-255] - 1","stronger trailing trend","255 sessions; refresh weekly or monthly; hold to next rebalance","PIT membership|total-return close","all 256 observations available by signal close","T0_PRICE_PIT","implemented_tested","project_translation","direct_rank","direct project evidence exists","MOM_LEVEL_LONG","MOM_LONG_WINDOWS","core_existing_data","existing definition is retained as control","Not a literal parameter from LIT001; this is the project's frozen baseline."
XS002_MOM_12_1,"12-1 momentum","trend_underreaction","primitive","LIT001","TR_close[t-21] / TR_close[t-252] - 1","stronger intermediate trend excluding recent month","252 sessions with 21-session skip; monthly refresh; one-month project holding","PIT membership|total-return close","both endpoints known at signal close","T0_PRICE_PIT","implemented_tested","project_translation","direct_rank","paper evidence mostly portfolio spread","MOM_LEVEL_LONG","MOM_LONG_WINDOWS","core_existing_data","keep one canonical 12-1 path","Treat weekly execution as a separate future path."
XS003_MOM_12_7,"12-to-7-month intermediate momentum","trend_underreaction","primitive","LIT002","TR_close[t-126] / TR_close[t-252] - 1","stronger older intermediate return","252 sessions with recent 126 sessions excluded; monthly refresh and holding","PIT membership|total-return close","both endpoints known at signal close","T0_PRICE_PIT","new_code_current_price","paper_canonical_translation","direct_rank","positive evidence includes large liquid stocks","MOM_LEVEL_INTERMEDIATE","MOM_INTERMEDIATE","core_existing_data","use one 12-to-7 definition rather than a grid","Mechanistically different from merely changing 255 to 189 sessions."
XS004_HIGH_52W,"52-week-high proximity","anchor_and_path_dependence","primitive","LIT003","split_adjusted_close[t] / max(split_adjusted_close[t-251:t])","price is closer to its prior-year high","252 sessions; monthly refresh; original holding six months","PIT membership|split-adjusted ex-dividend close","price basis and split handling fixed before signal close","T0_PRICE_PIT","new_code_price_basis_audit","paper_canonical","direct_rank","paper reports monotone long-leg behavior","PRICE_ANCHOR_52W","PRICE_REFERENCE","core_existing_data","do not silently substitute total-return price","Dividends can move total-return price without changing the price anchor in the original mechanism."
XS005_RESMOM_12_1,"FF3 residual momentum","trend_underreaction","residualized","LIT004","sum of monthly residuals from t-12 through t-2 divided by residual volatility; residuals come from a rolling 36-month FF3 regression","stronger stock-specific trend after common-factor removal","36-month estimation; 12-1 formation; monthly refresh and holding","monthly stock excess return|MKT|SMB|HML|RF","factor returns and stock returns available by month-end; no future regression rows","T2_REFERENCE_CLASSIFICATION_PIT","blocked_missing_T2","paper_canonical","direct_rank","large-stock robustness reported","MOM_RESIDUAL_NEUTRAL","MOM_RESIDUAL","core_after_data","a SPY-only residual version would need a new factor ID","Designed to reduce market value and size-factor contamination."
XS006_FIP_MOM_12_1,"Frog-in-the-pan momentum","anchor_and_path_dependence","conditional_composite","LIT005","PRET is 12-1 cumulative return; ID = sign(PRET) * (fraction_negative_days - fraction_positive_days); prefer high PRET then low ID","positive return accumulated through many small consistent moves","252 sessions with 21-session skip; monthly double sort; medium holding","PIT membership|daily total returns","all daily signs and PRET known at signal close","T0_PRICE_PIT","new_code_current_price","paper_canonical","conditional_rank","paper long leg is conditional on momentum","MOM_PATH_QUALITY","MOM_PATH","core_existing_data","implement lexicographic or documented double sort rather than arbitrary weighted sum","Low ID alone also describes persistent losers and is not a standalone buy signal."
XS007_ST_REV_21,"one-month reversal","short_horizon_liquidity_reversal","primitive","LIT006","-(TR_close[t] / TR_close[t-21] - 1)","larger prior-month loss and stronger reversal candidate","21 sessions; monthly refresh; one-month holding","PIT membership|total-return close","both endpoints known at signal close","T0_PRICE_PIT","implemented_tested","paper_canonical_translation","direct_rank","long-leg evidence exists but costs matter","REV_SHORT","REV_SHORT_WINDOWS","core_existing_data","keep 21 sessions as primary; five-day reversal is a separate later path","Likely negatively correlated with long momentum and sensitive to execution costs."
XS008_SAME_MONTH_5Y,"same-calendar-month seasonality","calendar_seasonality","composite","LIT007","mean of stock return relative to the market in the same calendar month at lags 12 24 36 48 and 60 months; require at least three observations","stronger historical performance in the coming calendar month","up to five annual lags; monthly refresh and one-month holding","PIT membership|monthly total returns|market return","only completed historical same-month returns may enter","T0_PRICE_PIT","new_code_current_price","project_translation","direct_rank","long leg reported but original history extends farther","SEASONALITY_CALENDAR","SEASONALITY","core_existing_data","five-year version is forced by 2013 data start and must not be called a 20-year replication","The 2018 start has only five annual lags at best."
XS009_INDUSTRY_MOM_6M,"six-month industry momentum","industry_peer_spillover","peer_composite","LIT008","value-weighted total return of the stock's PIT industry over the prior six months","membership in a stronger industry","six calendar months; monthly refresh; original holding six months","historical industry classification|PIT market cap|stock returns","industry membership and weights effective at each historical date","T2_REFERENCE_CLASSIFICATION_PIT","blocked_missing_T2","paper_canonical","context_or_model_feature","direct Top-K long leg may be industry concentrated","INDUSTRY_PEER","INDUSTRY_INFO","core_after_data","use as model feature or combined with stock signal before standalone Top-K","Only about 20 distinct values in the original construction."
XS010_ANNOUNCEMENT_RETURN,"latest earnings-announcement return","earnings_information_diffusion","event_feature","LIT009","sum of stock return minus market return from trading day -1 through +2 around the latest released quarterly earnings announcement","more positive price response to released earnings news","latest completed event window; monthly refresh; one to twelve-month diagnostics","PIT earnings announcement timestamp|daily returns|market return","event may enter only after the +2 close is known","T4_EVENT_EXPECTATION_PIT","blocked_missing_T4","paper_canonical_translation","direct_rank","positive drift evidence after good news","EARNINGS_EVENT_PRICE","EARNINGS_NEWS","core_after_data","do not use actual announcement return before the event window closes","This is price-based event information but still needs a PIT event calendar."
