factor_id,display_name,dimension,source_selection_status,weekly_refresh_rule,paper_horizon_role
XS001_MOM_255_0,255-session momentum,trend_price_path,ready_first_round,recompute_weekly,project_anchor
XS002_MOM_12_1,12-1 momentum,trend_price_path,ready_first_round,recompute_weekly,six_month_diagnostic
XS003_MOM_12_7,12-7 intermediate momentum,trend_price_path,ready_first_round,recompute_weekly,six_month_diagnostic
XS004_HIGH_52W,52-week high proximity,trend_price_path,ready_first_round,recompute_weekly,six_month_diagnostic
XS007_ST_REV_21,21-session reversal,reversal_calendar,ready_first_round,recompute_weekly,one_month_primary
XS008_SAME_MONTH_5Y,Same-month seasonality,reversal_calendar,ready_first_round,carry_target_month_score,one_month_primary
XS013_LOW_BETA_FP,Frazzini-Pedersen low beta,low_risk_lottery,ready_first_round,recompute_weekly,one_month_primary
XS015_MAX_21,Low maximum daily return,low_risk_lottery,ready_first_round,recompute_weekly,one_month_primary
XS018_AMIHUD_252,Amihud illiquidity,liquidity_attention,ready_first_round,recompute_weekly,twelve_month_diagnostic
XS019_PRICE_DELAY_52W,Price delay,liquidity_attention,ready_first_round,recompute_weekly,twelve_month_diagnostic
XS020_VOLUME_SHOCK_50D,Abnormal volume,liquidity_attention,ready_first_round,recompute_weekly,twenty_session_diagnostic
XS032_GROSS_PROFIT_AT,Gross profitability to assets,operating_quality_cash,ready_first_round,latest_pit_filing,twelve_month_diagnostic
XS041_ASSET_GROWTH,Conservative asset growth,investment_conservatism,ready_first_round,latest_pit_filing,twelve_month_diagnostic
XS056_CFO_ACCRUALS_PT,CFO accrual quality,operating_quality_cash,ready_coverage_alternative,latest_pit_filing,twelve_month_project_diagnostic

